"시점","행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"2002","제주특별자치도",550831,273871,276960
"2007","제주특별자치도",559258,279246,280012
"2012","제주특별자치도",583713,292213,291500
"2017","제주특별자치도",657083,330823,326260
"2022","제주특별자치도",678159,339590,338569
